category,week_date,avg_price,avg_regular_price,specials_count,product_count,special_pct
Dairy & Eggs,2025-08-15,4.37,4.56,27,128,21.1
Dairy & Eggs,2025-08-22,4.46,4.6,25,128,19.5
Dairy & Eggs,2025-08-29,4.59,4.65,8,128,6.3
Dairy & Eggs,2025-09-05,4.66,4.69,8,128,6.3
Dairy & Eggs,2025-09-12,4.62,4.74,16,128,12.5
Dairy & Eggs,2025-09-19,4.59,4.79,14,128,10.9
Dairy & Eggs,2025-09-26,4.68,4.84,21,128,16.4
Dairy & Eggs,2025-10-03,4.67,4.89,31,128,24.2
Dairy & Eggs,2025-10-10,4.83,4.94,17,128,13.3
Dairy & Eggs,2025-10-17,4.77,4.99,21,128,16.4
Dairy & Eggs,2025-10-24,4.87,5.03,19,128,14.8
Dairy & Eggs,2025-10-31,4.9,5.08,21,128,16.4
Dairy & Eggs,2025-11-07,4.98,5.12,20,128,15.6
Dairy & Eggs,2025-11-14,5.07,5.16,14,128,10.9
Dairy & Eggs,2025-11-21,5.08,5.19,14,128,10.9
Dairy & Eggs,2025-11-28,5.13,5.22,13,128,10.2
Dairy & Eggs,2025-12-05,5.03,5.24,20,128,15.6
Dairy & Eggs,2025-12-12,5.06,5.26,24,128,18.8
Dairy & Eggs,2025-12-19,5.12,5.27,16,128,12.5
Dairy & Eggs,2025-12-26,5.07,5.28,23,128,18.0
Dairy & Eggs,2026-01-02,5.1,5.28,23,128,18.0
Dairy & Eggs,2026-01-09,5.13,5.27,17,128,13.3
Dairy & Eggs,2026-01-16,5.09,5.26,20,128,15.6
Dairy & Eggs,2026-01-23,5.16,5.25,15,128,11.7
Dairy & Eggs,2026-01-30,5.19,5.23,11,128,8.6
Dairy & Eggs,2026-02-06,5.0,5.2,20,128,15.6
Dairy & Eggs,2026-02-13,4.87,5.17,27,128,21.1
Dairy & Eggs,2026-02-20,4.96,5.14,15,128,11.7
Dairy & Eggs,2026-02-27,4.91,5.1,24,128,18.8
Dairy & Eggs,2026-03-06,4.9,5.06,17,128,13.3
Dairy & Eggs,2026-03-13,4.92,5.02,17,128,13.3
Dairy & Eggs,2026-03-20,4.87,4.98,12,128,9.4
Dairy & Eggs,2026-03-27,4.79,4.94,15,128,11.7
Dairy & Eggs,2026-04-03,4.76,4.89,20,128,15.6
Dairy & Eggs,2026-04-10,4.72,4.85,17,128,13.3
Dairy & Eggs,2026-04-17,4.62,4.81,22,128,17.2
Dairy & Eggs,2026-04-24,4.66,4.77,16,128,12.5
Dairy & Eggs,2026-05-01,4.6,4.73,14,128,10.9
Dairy & Eggs,2026-05-08,4.59,4.69,15,128,11.7
Dairy & Eggs,2026-05-15,4.42,4.66,27,128,21.1
Dairy & Eggs,2026-05-22,4.48,4.64,21,128,16.4
Dairy & Eggs,2026-05-29,4.48,4.62,19,128,14.8
Dairy & Eggs,2026-06-05,4.49,4.6,15,128,11.7
Dairy & Eggs,2026-06-12,4.51,4.59,12,128,9.4
Dairy & Eggs,2026-06-19,4.42,4.58,18,128,14.1
Drinks,2025-06-27,7.77,7.77,0,127,0.0
Drinks,2025-07-04,7.35,7.77,25,127,19.7
Drinks,2025-07-11,7.26,7.76,40,127,31.5
Drinks,2025-07-18,7.33,7.75,34,127,26.8
Drinks,2025-07-25,7.19,7.72,40,127,31.5
Drinks,2025-08-01,7.35,7.69,32,127,25.2
Drinks,2025-08-08,7.56,7.65,14,127,11.0
Drinks,2025-08-15,7.43,7.61,9,127,7.1
Drinks,2025-08-22,7.32,7.56,17,127,13.4
Drinks,2025-08-29,7.1,7.5,30,127,23.6
Drinks,2025-09-05,7.02,7.44,33,127,26.0
Drinks,2025-09-12,6.99,7.38,33,127,26.0
Drinks,2025-09-19,7.09,7.31,28,127,22.0
Drinks,2025-09-26,7.01,7.25,26,127,20.5
Drinks,2025-10-03,7.03,7.18,15,127,11.8
Drinks,2025-10-10,6.82,7.12,20,127,15.7
Drinks,2025-10-17,6.71,7.05,24,127,18.9
Drinks,2025-10-24,6.68,7.0,32,127,25.2
Drinks,2025-10-31,6.63,6.94,33,127,26.0
Drinks,2025-11-07,6.68,6.89,27,127,21.3
Drinks,2025-11-14,6.62,6.84,21,127,16.5
Drinks,2025-11-21,6.56,6.8,24,127,18.9
Drinks,2025-11-28,6.41,6.77,26,127,20.5
Drinks,2025-12-05,6.49,6.74,21,127,16.5
Drinks,2025-12-12,6.44,6.73,26,127,20.5
Drinks,2025-12-19,6.27,6.72,30,127,23.6
Drinks,2025-12-26,6.31,6.72,33,127,26.0
Drinks,2026-01-02,6.49,6.73,28,127,22.0
Drinks,2026-01-09,6.4,6.74,25,127,19.7
Drinks,2026-01-16,6.44,6.77,26,127,20.5
Drinks,2026-01-23,6.47,6.8,27,127,21.3
Drinks,2026-01-30,6.6,6.84,26,127,20.5
Drinks,2026-02-06,6.63,6.89,22,127,17.3
Drinks,2026-02-13,6.7,6.94,24,127,18.9
Drinks,2026-02-20,6.73,7.0,23,127,18.1
Drinks,2026-02-27,6.79,7.07,24,127,18.9
Drinks,2026-03-06,6.72,7.14,28,127,22.0
Drinks,2026-03-13,6.83,7.21,33,127,26.0
Drinks,2026-03-20,6.98,7.28,29,127,22.8
Drinks,2026-03-27,6.99,7.36,26,127,20.5
Drinks,2026-04-03,7.3,7.43,18,127,14.2
Drinks,2026-04-10,7.24,7.51,20,127,15.7
Drinks,2026-04-17,7.09,7.58,33,127,26.0
Drinks,2026-04-24,7.41,7.65,20,127,15.7
Drinks,2026-05-01,7.39,7.71,26,127,20.5
Drinks,2026-05-08,7.38,7.77,33,127,26.0
Drinks,2026-05-15,7.56,7.83,24,127,18.9
Drinks,2026-05-22,7.61,7.88,29,127,22.8
Drinks,2026-05-29,7.47,7.92,29,127,22.8
Drinks,2026-06-05,7.64,7.95,24,127,18.9
Drinks,2026-06-12,7.6,7.98,28,127,22.0
Drinks,2026-06-19,7.52,7.99,30,127,23.6
Frozen,2025-06-27,6.27,6.27,0,127,0.0
Frozen,2025-07-04,5.99,6.27,25,127,19.7
Frozen,2025-07-11,5.89,6.28,32,127,25.2
Frozen,2025-07-18,6.07,6.3,21,127,16.5
Frozen,2025-07-25,6.13,6.33,18,127,14.2
Frozen,2025-08-01,6.14,6.36,23,127,18.1
Frozen,2025-08-08,6.05,6.39,35,127,27.6
Frozen,2025-08-15,6.08,6.43,34,127,26.8
Frozen,2025-08-22,6.33,6.47,13,127,10.2
Frozen,2025-08-29,6.45,6.52,6,127,4.7
Frozen,2025-09-05,6.45,6.56,9,127,7.1
Frozen,2025-09-12,6.37,6.62,17,127,13.4
Frozen,2025-09-19,6.43,6.67,22,127,17.3
Frozen,2025-09-26,6.43,6.72,27,127,21.3
Frozen,2025-10-03,6.55,6.77,23,127,18.1
Frozen,2025-10-10,6.57,6.83,22,127,17.3
Frozen,2025-10-17,6.6,6.88,26,127,20.5
Frozen,2025-10-24,6.76,6.92,18,127,14.2
Frozen,2025-10-31,6.8,6.97,16,127,12.6
Frozen,2025-11-07,6.87,7.01,11,127,8.7
Frozen,2025-11-14,6.91,7.05,17,127,13.4
Frozen,2025-11-21,6.89,7.09,19,127,15.0
Frozen,2025-11-28,6.79,7.12,28,127,22.0
Frozen,2025-12-05,6.88,7.14,23,127,18.1
Frozen,2025-12-12,6.91,7.16,21,127,16.5
Frozen,2025-12-19,6.91,7.17,26,127,20.5
Frozen,2025-12-26,6.98,7.18,15,127,11.8
Frozen,2026-01-02,7.0,7.18,15,127,11.8
Frozen,2026-01-09,6.97,7.18,14,127,11.0
Frozen,2026-01-16,6.94,7.17,20,127,15.7
Frozen,2026-01-23,6.93,7.15,20,127,15.7
Frozen,2026-01-30,6.76,7.13,28,127,22.0
Frozen,2026-02-06,6.75,7.1,28,127,22.0
Frozen,2026-02-13,6.76,7.08,28,127,22.0
Frozen,2026-02-20,6.82,7.04,23,127,18.1
Frozen,2026-02-27,6.91,7.0,13,127,10.2
Frozen,2026-03-06,6.8,6.96,11,127,8.7
Frozen,2026-03-13,6.79,6.92,11,127,8.7
Frozen,2026-03-20,6.67,6.88,18,127,14.2
Frozen,2026-03-27,6.61,6.83,17,127,13.4
Frozen,2026-04-03,6.6,6.79,19,127,15.0
Frozen,2026-04-10,6.43,6.74,31,127,24.4
Frozen,2026-04-17,6.41,6.7,34,127,26.8
Frozen,2026-04-24,6.44,6.66,21,127,16.5
Frozen,2026-05-01,6.47,6.62,10,127,7.9
Frozen,2026-05-08,6.36,6.58,16,127,12.6
Frozen,2026-05-15,6.36,6.55,21,127,16.5
Frozen,2026-05-22,6.34,6.52,19,127,15.0
Frozen,2026-05-29,6.29,6.5,20,127,15.7
Frozen,2026-06-05,6.29,6.49,18,127,14.2
Frozen,2026-06-12,6.15,6.48,30,127,23.6
Frozen,2026-06-19,6.24,6.47,21,127,16.5
Fruit & Veg,2025-06-27,4.6,4.69,0,123,0.0
Fruit & Veg,2025-07-04,4.46,4.68,28,123,22.8
Fruit & Veg,2025-07-11,4.35,4.67,36,123,29.3
Fruit & Veg,2025-07-18,4.33,4.64,48,123,39.0
Fruit & Veg,2025-07-25,4.29,4.6,33,123,26.8
Fruit & Veg,2025-08-01,4.27,4.54,30,123,24.4
Fruit & Veg,2025-08-08,4.31,4.48,14,123,11.4
Fruit & Veg,2025-08-15,4.32,4.4,12,123,9.8
Fruit & Veg,2025-08-22,4.14,4.31,21,123,17.1
Fruit & Veg,2025-08-29,4.01,4.22,24,123,19.5
Fruit & Veg,2025-09-05,3.93,4.12,31,123,25.2
Fruit & Veg,2025-09-12,3.8,4.01,34,123,27.6
Fruit & Veg,2025-09-19,3.69,3.9,28,123,22.8
Fruit & Veg,2025-09-26,3.6,3.79,27,123,22.0
Fruit & Veg,2025-10-03,3.65,3.68,16,123,13.0
Fruit & Veg,2025-10-10,3.53,3.57,13,123,10.6
Fruit & Veg,2025-10-17,3.3,3.47,24,123,19.5
Fruit & Veg,2025-10-24,3.17,3.37,31,123,25.2
Fruit & Veg,2025-10-31,3.08,3.27,33,123,26.8
Fruit & Veg,2025-11-07,3.09,3.18,22,123,17.9
Fruit & Veg,2025-11-14,3.03,3.11,26,123,21.1
Fruit & Veg,2025-11-21,2.91,3.04,22,123,17.9
Fruit & Veg,2025-11-28,2.9,2.98,24,123,19.5
Fruit & Veg,2025-12-05,2.82,2.93,25,123,20.3
Fruit & Veg,2025-12-12,2.74,2.9,33,123,26.8
Fruit & Veg,2025-12-19,2.76,2.88,26,123,21.1
Fruit & Veg,2025-12-26,2.7,2.88,25,123,20.3
Fruit & Veg,2026-01-02,2.74,2.89,24,123,19.5
Fruit & Veg,2026-01-09,2.87,2.91,19,123,15.4
Fruit & Veg,2026-01-16,2.84,2.95,30,123,24.4
Fruit & Veg,2026-01-23,2.86,3.0,26,123,21.1
Fruit & Veg,2026-01-30,2.97,3.06,22,123,17.9
Fruit & Veg,2026-02-06,2.96,3.14,31,123,25.2
Fruit & Veg,2026-02-13,3.08,3.23,28,123,22.8
Fruit & Veg,2026-02-20,3.14,3.32,24,123,19.5
Fruit & Veg,2026-02-27,3.18,3.42,17,123,13.8
Fruit & Veg,2026-03-06,3.45,3.53,20,123,16.3
Fruit & Veg,2026-03-13,3.55,3.65,21,123,17.1
Fruit & Veg,2026-03-20,3.6,3.77,26,123,21.1
Fruit & Veg,2026-03-27,3.75,3.89,27,123,22.0
Fruit & Veg,2026-04-03,3.88,4.01,24,123,19.5
Fruit & Veg,2026-04-10,3.87,4.13,24,123,19.5
Fruit & Veg,2026-04-17,3.91,4.24,31,123,25.2
Fruit & Veg,2026-04-24,4.28,4.36,21,123,17.1
Fruit & Veg,2026-05-01,4.38,4.46,25,123,20.3
Fruit & Veg,2026-05-08,4.45,4.56,26,123,21.1
Fruit & Veg,2026-05-15,4.48,4.65,27,123,22.0
Fruit & Veg,2026-05-22,4.52,4.72,20,123,16.3
Fruit & Veg,2026-05-29,4.59,4.79,24,123,19.5
Fruit & Veg,2026-06-05,4.58,4.84,21,123,17.1
Fruit & Veg,2026-06-12,4.6,4.88,30,123,24.4
Fruit & Veg,2026-06-19,4.63,4.91,37,123,30.1
Health & Wellness,2025-06-27,7.55,7.55,0,131,0.0
Health & Wellness,2025-07-04,7.45,7.56,13,131,9.9
Health & Wellness,2025-07-11,7.28,7.56,25,131,19.1
Health & Wellness,2025-07-18,7.27,7.58,22,131,16.8
Health & Wellness,2025-07-25,7.44,7.59,16,131,12.2
Health & Wellness,2025-08-01,7.25,7.61,31,131,23.7
Health & Wellness,2025-08-08,7.3,7.63,24,131,18.3
Health & Wellness,2025-08-15,7.29,7.66,24,131,18.3
Health & Wellness,2025-08-22,7.28,7.68,19,131,14.5
Health & Wellness,2025-08-29,7.49,7.71,19,131,14.5
Health & Wellness,2025-09-05,7.63,7.74,8,131,6.1
Health & Wellness,2025-09-12,7.74,7.77,3,131,2.3
Health & Wellness,2025-09-19,7.72,7.81,9,131,6.9
Health & Wellness,2025-09-26,7.71,7.84,10,131,7.6
Health & Wellness,2025-10-03,7.76,7.87,13,131,9.9
Health & Wellness,2025-10-10,7.49,7.9,23,131,17.6
Health & Wellness,2025-10-17,7.53,7.93,38,131,29.0
Health & Wellness,2025-10-24,7.55,7.96,32,131,24.4
Health & Wellness,2025-10-31,7.69,7.99,25,131,19.1
Health & Wellness,2025-11-07,7.73,8.02,18,131,13.7
Health & Wellness,2025-11-14,7.94,8.04,11,131,8.4
Health & Wellness,2025-11-21,7.92,8.07,10,131,7.6
Health & Wellness,2025-11-28,7.86,8.08,12,131,9.2
Health & Wellness,2025-12-05,7.98,8.1,11,131,8.4
Health & Wellness,2025-12-12,7.97,8.11,12,131,9.2
Health & Wellness,2025-12-19,8.04,8.12,13,131,9.9
Health & Wellness,2025-12-26,7.92,8.13,16,131,12.2
Health & Wellness,2026-01-02,7.76,8.13,25,131,19.1
Health & Wellness,2026-01-09,7.76,8.13,27,131,20.6
Health & Wellness,2026-01-16,7.86,8.13,26,131,19.8
Health & Wellness,2026-01-23,7.86,8.12,21,131,16.0
Health & Wellness,2026-01-30,7.82,8.11,21,131,16.0
Health & Wellness,2026-02-06,7.9,8.1,14,131,10.7
Health & Wellness,2026-02-13,7.85,8.08,9,131,6.9
Health & Wellness,2026-02-20,7.94,8.06,14,131,10.7
Health & Wellness,2026-02-27,7.94,8.04,14,131,10.7
Health & Wellness,2026-03-06,7.86,8.02,12,131,9.2
Health & Wellness,2026-03-13,7.87,8.0,14,131,10.7
Health & Wellness,2026-03-20,7.75,7.97,17,131,13.0
Health & Wellness,2026-03-27,7.7,7.95,19,131,14.5
Health & Wellness,2026-04-03,7.58,7.92,26,131,19.8
Health & Wellness,2026-04-10,7.72,7.9,19,131,14.5
Health & Wellness,2026-04-17,7.71,7.88,16,131,12.2
Health & Wellness,2026-04-24,7.67,7.85,16,131,12.2
Health & Wellness,2026-05-01,7.56,7.83,16,131,12.2
Health & Wellness,2026-05-08,7.7,7.81,15,131,11.5
Health & Wellness,2026-05-15,7.61,7.8,15,131,11.5
Health & Wellness,2026-05-22,7.57,7.78,12,131,9.2
Health & Wellness,2026-05-29,7.55,7.77,18,131,13.7
Health & Wellness,2026-06-05,7.52,7.77,19,131,14.5
Health & Wellness,2026-06-12,7.46,7.76,25,131,19.1
Health & Wellness,2026-06-19,7.64,7.76,16,131,12.2
Household,2025-06-27,6.49,6.49,0,131,0.0
Household,2025-07-04,6.32,6.5,14,131,10.7
Household,2025-07-11,6.27,6.5,19,131,14.5
Household,2025-07-18,6.37,6.51,14,131,10.7
Household,2025-07-25,6.34,6.52,17,131,13.0
Household,2025-08-01,6.37,6.53,10,131,7.6
Household,2025-08-08,6.41,6.54,15,131,11.5
Household,2025-08-15,6.31,6.56,23,131,17.6
Household,2025-08-22,6.34,6.57,28,131,21.4
Household,2025-08-29,6.34,6.59,21,131,16.0
Household,2025-09-05,6.45,6.61,15,131,11.5
Household,2025-09-12,6.45,6.63,11,131,8.4
Household,2025-09-19,6.61,6.65,4,131,3.1
Household,2025-09-26,6.6,6.67,6,131,4.6
Household,2025-10-03,6.52,6.68,14,131,10.7
Household,2025-10-10,6.59,6.7,10,131,7.6
Household,2025-10-17,6.52,6.72,14,131,10.7
Household,2025-10-24,6.6,6.74,12,131,9.2
Household,2025-10-31,6.47,6.76,31,131,23.7
Household,2025-11-07,6.51,6.77,25,131,19.1
Household,2025-11-14,6.61,6.79,18,131,13.7
Household,2025-11-21,6.59,6.8,23,131,17.6
Household,2025-11-28,6.65,6.81,14,131,10.7
Household,2025-12-05,6.61,6.82,13,131,9.9
Household,2025-12-12,6.7,6.83,14,131,10.7
Household,2025-12-19,6.74,6.84,13,131,9.9
Household,2025-12-26,6.71,6.84,10,131,7.6
Household,2026-01-02,6.72,6.84,9,131,6.9
Household,2026-01-09,6.67,6.84,13,131,9.9
Household,2026-01-16,6.62,6.84,15,131,11.5
Household,2026-01-23,6.66,6.84,22,131,16.8
Household,2026-01-30,6.66,6.83,23,131,17.6
Household,2026-02-06,6.56,6.83,22,131,16.8
Household,2026-02-13,6.62,6.82,17,131,13.0
Household,2026-02-20,6.61,6.81,18,131,13.7
Household,2026-02-27,6.62,6.8,20,131,15.3
Household,2026-03-06,6.65,6.79,12,131,9.2
Household,2026-03-13,6.58,6.77,11,131,8.4
Household,2026-03-20,6.59,6.76,12,131,9.2
Household,2026-03-27,6.61,6.75,11,131,8.4
Household,2026-04-03,6.63,6.73,14,131,10.7
Household,2026-04-10,6.49,6.72,22,131,16.8
Household,2026-04-17,6.48,6.71,15,131,11.5
Household,2026-04-24,6.48,6.7,16,131,12.2
Household,2026-05-01,6.49,6.69,24,131,18.3
Household,2026-05-08,6.47,6.68,25,131,19.1
Household,2026-05-15,6.54,6.67,17,131,13.0
Household,2026-05-22,6.53,6.66,15,131,11.5
Household,2026-05-29,6.55,6.66,13,131,9.9
Household,2026-06-05,6.48,6.65,16,131,12.2
Household,2026-06-12,6.45,6.65,16,131,12.2
Household,2026-06-19,6.37,6.65,14,131,10.7
Meat & Seafood,2025-06-27,17.5,17.55,0,129,0.0
Meat & Seafood,2025-07-04,17.02,17.55,25,129,19.4
Meat & Seafood,2025-07-11,16.34,17.52,36,129,27.9
Meat & Seafood,2025-07-18,16.6,17.46,29,129,22.5
Meat & Seafood,2025-07-25,16.54,17.36,33,129,25.6
Meat & Seafood,2025-08-01,16.57,17.23,25,129,19.4
Meat & Seafood,2025-08-08,16.33,17.08,30,129,23.3
Meat & Seafood,2025-08-15,16.2,16.9,19,129,14.7
Meat & Seafood,2025-08-22,16.39,16.7,10,129,7.8
Meat & Seafood,2025-08-29,16.02,16.48,15,129,11.6
Meat & Seafood,2025-09-05,15.59,16.24,21,129,16.3
Meat & Seafood,2025-09-12,15.33,15.99,28,129,21.7
Meat & Seafood,2025-09-19,14.86,15.73,31,129,24.0
Meat & Seafood,2025-09-26,14.88,15.47,30,129,23.3
Meat & Seafood,2025-10-03,14.47,15.2,22,129,17.1
Meat & Seafood,2025-10-10,14.63,14.94,19,129,14.7
Meat & Seafood,2025-10-17,14.35,14.69,17,129,13.2
Meat & Seafood,2025-10-24,13.99,14.45,15,129,11.6
Meat & Seafood,2025-10-31,13.65,14.22,27,129,20.9
Meat & Seafood,2025-11-07,13.58,14.01,21,129,16.3
Meat & Seafood,2025-11-14,13.32,13.83,24,129,18.6
Meat & Seafood,2025-11-21,13.01,13.67,30,129,23.3
Meat & Seafood,2025-11-28,12.92,13.54,22,129,17.1
Meat & Seafood,2025-12-05,13.09,13.43,19,129,14.7
Meat & Seafood,2025-12-12,12.81,13.37,26,129,20.2
Meat & Seafood,2025-12-19,12.86,13.33,22,129,17.1
Meat & Seafood,2025-12-26,12.88,13.32,13,129,10.1
Meat & Seafood,2026-01-02,12.85,13.36,24,129,18.6
Meat & Seafood,2026-01-09,12.71,13.42,31,129,24.0
Meat & Seafood,2026-01-16,12.99,13.52,22,129,17.1
Meat & Seafood,2026-01-23,13.29,13.65,19,129,14.7
Meat & Seafood,2026-01-30,13.14,13.81,30,129,23.3
Meat & Seafood,2026-02-06,13.58,14.0,24,129,18.6
Meat & Seafood,2026-02-13,13.71,14.22,18,129,14.0
Meat & Seafood,2026-02-20,13.89,14.46,22,129,17.1
Meat & Seafood,2026-02-27,14.01,14.72,24,129,18.6
Meat & Seafood,2026-03-06,14.63,15.0,17,129,13.2
Meat & Seafood,2026-03-13,14.71,15.28,24,129,18.6
Meat & Seafood,2026-03-20,15.07,15.58,25,129,19.4
Meat & Seafood,2026-03-27,15.24,15.89,19,129,14.7
Meat & Seafood,2026-04-03,15.46,16.19,28,129,21.7
Meat & Seafood,2026-04-10,15.74,16.49,30,129,23.3
Meat & Seafood,2026-04-17,16.23,16.79,21,129,16.3
Meat & Seafood,2026-04-24,16.39,17.06,19,129,14.7
Meat & Seafood,2026-05-01,16.91,17.33,18,129,14.0
Meat & Seafood,2026-05-08,17.14,17.58,18,129,14.0
Meat & Seafood,2026-05-15,16.98,17.8,27,129,20.9
Meat & Seafood,2026-05-22,17.45,18.0,19,129,14.7
Meat & Seafood,2026-05-29,17.6,18.16,21,129,16.3
Meat & Seafood,2026-06-05,17.67,18.3,21,129,16.3
Meat & Seafood,2026-06-12,17.93,18.41,23,129,17.8
Meat & Seafood,2026-06-19,17.49,18.48,28,129,21.7
Pantry,2025-06-27,2.75,2.75,0,129,0.0
Pantry,2025-07-04,2.67,2.76,16,129,12.4
Pantry,2025-07-11,2.66,2.76,24,129,18.6
Pantry,2025-07-18,2.66,2.76,27,129,20.9
Pantry,2025-07-25,2.68,2.77,22,129,17.1
Pantry,2025-08-01,2.64,2.78,20,129,15.5
Pantry,2025-08-08,2.68,2.79,27,129,20.9
Pantry,2025-08-15,2.67,2.8,31,129,24.0
Pantry,2025-08-22,2.7,2.81,23,129,17.8
Pantry,2025-08-29,2.78,2.82,8,129,6.2
Pantry,2025-09-05,2.82,2.83,2,129,1.6
Pantry,2025-09-12,2.79,2.84,11,129,8.5
Pantry,2025-09-19,2.8,2.85,16,129,12.4
Pantry,2025-09-26,2.77,2.86,21,129,16.3
Pantry,2025-10-03,2.72,2.88,29,129,22.5
Pantry,2025-10-10,2.75,2.89,24,129,18.6
Pantry,2025-10-17,2.79,2.9,25,129,19.4
Pantry,2025-10-24,2.81,2.91,26,129,20.2
Pantry,2025-10-31,2.85,2.92,16,129,12.4
Pantry,2025-11-07,2.88,2.93,14,129,10.9
Pantry,2025-11-14,2.85,2.94,13,129,10.1
Pantry,2025-11-21,2.91,2.95,10,129,7.8
Pantry,2025-11-28,2.92,2.96,15,129,11.6
Pantry,2025-12-05,2.9,2.96,18,129,14.0
Pantry,2025-12-12,2.9,2.97,15,129,11.6
Pantry,2025-12-19,2.86,2.97,18,129,14.0
Pantry,2025-12-26,2.83,2.98,24,129,18.6
Pantry,2026-01-02,2.86,2.98,21,129,16.3
Pantry,2026-01-09,2.86,2.98,21,129,16.3
Pantry,2026-01-16,2.92,2.98,17,129,13.2
Pantry,2026-01-23,2.88,2.97,19,129,14.7
Pantry,2026-01-30,2.9,2.97,18,129,14.0
Pantry,2026-02-06,2.92,2.97,15,129,11.6
Pantry,2026-02-13,2.9,2.96,14,129,10.9
Pantry,2026-02-20,2.87,2.95,17,129,13.2
Pantry,2026-02-27,2.82,2.95,25,129,19.4
Pantry,2026-03-06,2.84,2.94,21,129,16.3
Pantry,2026-03-13,2.89,2.93,10,129,7.8
Pantry,2026-03-20,2.8,2.92,20,129,15.5
Pantry,2026-03-27,2.83,2.91,18,129,14.0
Pantry,2026-04-03,2.83,2.91,23,129,17.8
Pantry,2026-04-10,2.8,2.9,22,129,17.1
Pantry,2026-04-17,2.8,2.89,21,129,16.3
Pantry,2026-04-24,2.84,2.88,12,129,9.3
Pantry,2026-05-01,2.8,2.87,16,129,12.4
Pantry,2026-05-08,2.79,2.87,16,129,12.4
Pantry,2026-05-15,2.77,2.86,21,129,16.3
Pantry,2026-05-22,2.73,2.86,23,129,17.8
Pantry,2026-05-29,2.77,2.85,15,129,11.6
Pantry,2026-06-05,2.8,2.85,13,129,10.1
Pantry,2026-06-12,2.74,2.85,25,129,19.4
Pantry,2026-06-19,2.74,2.85,26,129,20.2
Snacks,2025-06-27,4.25,4.25,0,127,0.0
Snacks,2025-07-04,4.01,4.25,27,127,21.3
Snacks,2025-07-11,3.9,4.25,44,127,34.6
